Year,Afghanistan,Albania,Algeria,Argentina,Argentina ,Armenia,Australasia,Australia,Australia ,Austria,Austria ,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Belgium ,Bermuda,Bohemia,Botswana,Brazil,Brazil ,British West Indies ,Bulgaria,Bulgaria ,Burkina Faso,Burundi,Cabo Verde,Cameroon,Canada,Canada ,Ceylon,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia,Czechoslovakia ,Denmark,Denmark ,Djibouti,Dominica,Dominican Republic,East Germany,Ecuador,Egypt,Egypt ,Eritrea,Estonia,Ethiopia,Ethiopia ,FR Yugoslavia,Fiji,Finland,Finland ,Formosa ,France,France ,Gabon,Georgia,Germany,Germany ,Ghana,Ghana ,Great Britain,Great Britain ,Greece,Greece ,Grenada,Guatemala,Guyana,Haiti,Hong Kong,Hungary,Hungary ,Iceland,Independent Olympic Athletes,Independent Olympic Participants,India,India ,Indonesia,Iran,Iran ,Iraq ,Ireland,Ireland ,Israel,Italy,Italy ,Ivory Coast,Jamaica,Japan,Japan ,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Latvia,Latvia ,Lebanon,Lithuania,Luxembourg,Macedonia,Malaysia,Mauritius,Mexico,Mexico ,Mixed team,Moldova,Mongolia,Montenegro,Morocco,Morocco ,Mozambique,Namibia,Netherlands,Netherlands Antilles,Netherlands ,New Zealand,New Zealand ,Niger,Nigeria,North Korea,North Macedonia,Norway,Norway ,Pakistan,Pakistan ,Panama,Paraguay,Peru,Philippines,Philippines ,Poland,Poland ,Portugal,Portugal ,Puerto Rico,Qatar,ROC,Refugee Olympic Team,Romania,Romania ,Russia,Russian Empire,Saint Lucia,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Singapore,Singapore ,Slovakia,Slovenia,South Africa,South Africa ,South Korea,Soviet Union,Soviet Union ,Spain,Spain ,Sri Lanka,Sudan,Suriname,Sweden,Sweden ,Switzerland,Switzerland ,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkey ,Turkmenistan,Uganda,Ukraine,Unified Team,United Arab Emirates,United States,United States ,United Team of Germany,United Team of Germany ,Uruguay,Uruguay ,Uzbekistan,Venezuela,Venezuela ,Vietnam,Virgin Islands,West Germany,Yugoslavia,Yugoslavia ,Zambia,Zimbabwe
1896,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,0,0,0,7,0,47,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,9,0,0,0,31,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,13,0,0,0,146,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,14,0,0,0,25,0,0,0,41,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,36,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,34,0,0,41,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,64,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,6,0,0,0,6,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37,0,0,38,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,29,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
1928,0,0,0,7,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,4,0,0,5,0,0,0,0,25,0,0,21,0,0,0,31,0,0,0,20,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0
1932,0,0,0,0,4,0,0,0,5,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,20,0,0,0,24,0,0,0,17,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,2,0,0,36,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,7,0,0,0,1,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,5,0,0,7,0,0,0,0,20,0,0,19,0,0,0,101,0,0,0,14,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
