Rank,NOC,Gold,Silver,Bronze,Total,Year,Host
1,United States,11,7,2,20,1896,0
2,Greece,10,18,19,47,1896,1
3,Germany,6,5,2,13,1896,0
4,France,5,4,2,11,1896,0
5,Great Britain,2,3,2,7,1896,0
6,Hungary,2,1,3,6,1896,0
7,Austria,2,1,2,5,1896,0
8,Australia,2,0,0,2,1896,0
9,Denmark,1,2,3,6,1896,0
10,Switzerland,1,2,0,3,1896,0
11,Mixed team,1,0,1,2,1896,0
1,France,27,39,37,103,1900,1
2,United States,19,14,15,48,1900,0
3,Great Britain,15,7,9,31,1900,0
4,Mixed team,8,5,6,19,1900,0
5,Belgium,6,7,4,17,1900,0
6,Switzerland,6,2,1,9,1900,0
7,Germany,4,3,2,9,1900,0
8,Italy,3,2,0,5,1900,0
9,Australia,2,0,3,5,1900,0
10,Denmark,1,3,2,6,1900,0
11,Hungary,1,2,2,5,1900,0
12,Cuba,1,1,0,2,1900,0
13,Canada,1,0,1,2,1900,0
14,Spain,1,0,0,1,1900,0
14,Luxembourg,1,0,0,1,1900,0
16,Austria,0,3,3,6,1900,0
17,Norway,0,2,3,5,1900,0
17,Netherlands,0,2,3,5,1900,0
19,India,0,2,0,2,1900,0
20,Bohemia,0,1,1,2,1900,0
21,Sweden,0,0,1,1,1900,0
1,United States,76,78,77,231,1904,1
2,Germany,4,5,6,15,1904,0
3,Canada,4,1,1,6,1904,0
4,Cuba,3,0,0,3,1904,0
5,Hungary,2,1,1,4,1904,0
5,Mixed team,2,1,1,4,1904,0
7,Norway,2,0,0,2,1904,0
8,Austria,1,1,1,3,1904,0
9,Great Britain,1,1,0,2,1904,0
10,Switzerland,1,0,2,3,1904,0
11,Greece,1,0,1,2,1904,0
12,Australia,0,3,1,4,1904,0
13,France,0,1,0,1,1904,0
1,Great Britain,56,51,39,146,1908,0
2,United States,23,12,12,47,1908,0
3,Sweden,8,6,11,25,1908,0
4,France,5,5,9,19,1908,0
5,Germany,3,5,5,13,1908,0
6,Hungary,3,4,2,9,1908,0
7,Canada,3,3,10,16,1908,0
8,Norway,2,3,3,8,1908,0
9,Italy,2,2,0,4,1908,0
10,Belgium,1,5,2,8,1908,0
11,Australasia,1,2,2,5,1908,0
12,Russian Empire,1,2,0,3,1908,0
13,Finland,1,1,3,5,1908,0
14,South Africa,1,1,0,2,1908,0
15,Greece,0,3,1,4,1908,0
16,Denmark,0,2,3,5,1908,0
17,Bohemia,0,0,2,2,1908,0
17,Netherlands,0,0,2,2,1908,0
19,Austria,0,0,1,1,1908,0
1,United States,26,19,19,64,1912,0
2,Sweden,23,25,17,65,1912,1
3,Great Britain,10,15,16,41,1912,0
4,Finland,9,8,9,26,1912,0
5,France,7,4,3,14,1912,0
6,Germany,5,13,7,25,1912,0
7,South Africa,4,2,0,6,1912,0
8,Norway,3,2,5,10,1912,0
9,Canada,3,2,3,8,1912,0
9,Hungary,3,2,3,8,1912,0
11,Italy,3,1,2,6,1912,0
12,Australasia,2,2,3,7,1912,0
13,Belgium,2,1,3,6,1912,0
14,Denmark,1,6,5,12,1912,0
15,Greece,1,0,1,2,1912,0
16,Russian Empire,0,2,3,5,1912,0
17,Austria,0,2,2,4,1912,0
18,Netherlands,0,0,3,3,1912,0
1,United States,41,27,27,95,1920,0
2,Sweden,19,20,25,64,1920,0
3,Finland,15,10,9,34,1920,0
4,Great Britain,14,15,13,42,1920,0
5,Belgium,14,11,11,36,1920,1
6,Norway,13,9,9,31,1920,0
7,Italy,13,5,5,23,1920,0
8,France,9,19,13,41,1920,0
9,Netherlands,4,2,5,11,1920,0
10,Denmark,3,9,1,13,1920,0
11,South Africa,3,4,3,10,1920,0
12,Canada,3,3,3,9,1920,0
13,Switzerland,2,2,7,11,1920,0
14,Estonia,1,2,0,3,1920,0
15,Brazil,1,1,1,3,1920,0
16,Australia,0,2,1,3,1920,0
17,Japan,0,2,0,2,1920,0
17,Spain,0,2,0,2,1920,0
19,Greece,0,1,0,1,1920,0
19,Luxembourg,0,1,0,1,1920,0
21,Czechoslovakia,0,0,2,2,1920,0
22,New Zealand,0,0,1,1,1920,0
1,United States,45,27,27,99,1924,0
2,Finland,14,13,10,37,1924,0
3,France,13,15,10,38,1924,1
4,Great Britain,9,13,12,34,1924,0
5,Italy,8,3,5,16,1924,0
6,Switzerland,7,8,10,25,1924,0
7,Norway,5,2,3,10,1924,0
8,Sweden,4,13,12,29,1924,0
9,Netherlands,4,1,5,10,1924,0
10,Belgium,3,7,3,13,1924,0
11,Australia,3,1,2,6,1924,0
12,Denmark,2,5,2,9,1924,0
13,Hungary,2,3,4,9,1924,0
14,Yugoslavia,2,0,0,2,1924,0
15,Czechoslovakia,1,4,5,10,1924,0
16,Argentina,1,3,2,6,1924,0
17,Estonia,1,1,4,6,1924,0
18,South Africa,1,1,1,3,1924,0
19,Uruguay,1,0,0,1,1924,0
20,Austria,0,3,1,4,1924,0
20,Canada,0,3,1,4,1924,0
22,Poland,0,1,1,2,1924,0
23,Haiti,0,0,1,1,1924,0
23,Japan,0,0,1,1,1924,0
23,New Zealand,0,0,1,1,1924,0
23,Portugal,0,0,1,1,1924,0
23,Romania,0,0,1,1,1924,0
1,United States,22,18,16,56,1928,0
2,Germany,10,7,14,31,1928,0
3,Finland,8,8,9,25,1928,0
4,Sweden,7,6,12,25,1928,0
5,Italy,7,5,7,19,1928,0
6,Switzerland,7,4,4,15,1928,0
7,France,6,10,5,21,1928,0
8,Netherlands,6,9,4,19,1928,1
9,Hungary,4,5,0,9,1928,0
10,Canada,4,4,7,15,1928,0
11,Great Britain,3,10,7,20,1928,0
12,Argentina,3,3,1,7,1928,0
13,Denmark,3,1,2,6,1928,0
14,Czechoslovakia,2,5,2,9,1928,0
15,Japan,2,2,1,5,1928,0
16,Estonia,2,1,2,5,1928,0
17,Egypt,2,1,1,4,1928,0
18,Austria,2,0,1,3,1928,0
19,Australia,1,2,1,4,1928,0
19,Norway,1,2,1,4,1928,0
21,Poland,1,1,3,5,1928,0
21,Yugoslavia,1,1,3,5,1928,0
23,South Africa,1,0,2,3,1928,0
24,India,1,0,0,1,1928,0
24,Ireland,1,0,0,1,1928,0
24,New Zealand,1,0,0,1,1928,0
24,Spain,1,0,0,1,1928,0
24,Uruguay,1,0,0,1,1928,0
29,Belgium,0,1,2,3,1928,0
30,Chile,0,1,0,1,1928,0
30,Haiti,0,1,0,1,1928,0
32,Philippines,0,0,1,1,1928,0
32,Portugal,0,0,1,1,1928,0
1,United States ,44,36,30,110,1932,0
2,Italy ,12,12,12,36,1932,0
3,France ,11,5,4,20,1932,0
4,Sweden ,10,5,9,24,1932,0
5,Japan ,7,7,4,18,1932,0
6,Hungary ,6,5,5,16,1932,0
7,Germany ,5,12,7,24,1932,0
8,Finland ,5,8,12,25,1932,0
9,Great Britain ,5,7,5,17,1932,0
10,Poland ,3,2,4,9,1932,0
11,Australia ,3,1,1,5,1932,0
12,Argentina ,3,1,0,4,1932,0
13,Canada ,2,5,9,16,1932,0
14,Netherlands ,2,5,1,8,1932,0
15,South Africa ,2,0,3,5,1932,0
16,Ireland ,2,0,0,2,1932,0
17,Czechoslovakia ,1,3,2,6,1932,0
18,Austria ,1,1,3,5,1932,0
19,India ,1,0,0,1,1932,0
20,Denmark ,0,5,3,8,1932,0
21,Mexico ,0,2,0,2,1932,0
22,Latvia ,0,1,0,1,1932,0
22,New Zealand ,0,1,0,1,1932,0
22,Switzerland ,0,1,0,1,1932,0
25,Philippines ,0,0,3,3,1932,0
26,Belgium ,0,0,1,1,1932,0
26,Spain ,0,0,1,1,1932,0
26,Uruguay ,0,0,1,1,1932,0
1,Germany,38,31,32,101,1936,1
2,United States,24,21,12,57,1936,0
3,Hungary,10,1,5,16,1936,0
4,Italy,9,13,5,27,1936,0
5,Finland,8,6,6,20,1936,0
6,France,7,6,6,19,1936,0
7,Sweden,6,5,10,21,1936,0
8,Japan,6,4,10,20,1936,0
9,Netherlands,6,4,7,17,1936,0
10,Austria,5,7,5,17,1936,0
11,Switzerland,4,9,5,18,1936,0
12,Great Britain,4,7,3,14,1936,0
13,Czechoslovakia,3,5,1,9,1936,0
