NOC_CODE,yhat,yhat_lower,yhat_upper
USA,43,40,45
CHN,29,27,31
JPN,14,11,16
AUS,18,15,20
FRA,25,23,27
NED,10,8,13
GBR,21,19,23
KOR,8,6,11
ITA,12,10,14
GER,11,8,13
NZL,7,5,9
CAN,7,5,9
UZB,4,2,6
HUN,5,3,8
ESP,7,5,10
SWE,3,0,5
KEN,2,0,5
NOR,2,0,4
IRL,2,0,4
BRA,8,6,11
IRI,5,2,7
UKR,4,2,7
ROU,3,1,5
GEO,2,-1,4
BEL,3,0,5
BUL,2,0,4
SRB,3,1,5
CZE,2,-1,4
DEN,3,1,6
AZE,2,0,4
CRO,2,0,5
CUB,3,1,6
AUT,0,-3,2
PHI,2,-1,4
ISR,1,-2,3
POL,3,1,5
KAZ,2,0,5
JAM,1,-1,4
RSA,3,1,6
THA,2,0,4
ETH,1,-2,3
SUI,3,0,5
ECU,2,-1,4
POR,1,-2,3
GRE,2,0,4
ARG,-1,-4,1
EGY,1,-1,4
TUN,1,-2,3
CHI,1,-2,3
LCA,0,-2,3
UGA,0,-2,3
DOM,1,-2,3
MAR,0,-2,3
DMA,0,-3,2
PAK,0,-3,2
TUR,3,1,5
MEX,2,0,5
ARM,1,-1,4
COL,2,-1,4
KGZ,2,0,4
PRK,2,0,5
LTU,0,-2,3
IND,1,-1,4
MDA,1,-1,3
CYP,0,-2,2
JOR,0,-2,2
PAN,0,-2,3
TJK,0,-2,3
ALB,1,-2,3
PUR,1,-2,3
CPV,0,-2,2
CIV,0,-2,3
PER,0,-3,2
QAT,0,-2,2
SGP,0,-2,2
SVK,1,-2,3
