NOC_CODE,yhat,yhat_lower,yhat_upper
USA,37,35,40
CHN,27,25,30
JPN,16,13,18
AUS,18,15,20
FRA,25,23,28
NED,14,11,16
GBR,26,24,29
KOR,12,9,14
ITA,13,11,16
GER,10,7,12
NZL,6,3,8
CAN,8,6,11
UZB,6,4,9
HUN,4,2,7
ESP,8,5,10
SWE,5,2,7
KEN,2,0,4
NOR,4,1,6
IRL,2,0,5
BRA,9,6,11
IRI,5,2,7
UKR,4,1,7
ROU,2,0,5
GEO,3,0,5
BEL,5,3,8
BUL,3,1,6
SRB,2,0,4
CZE,2,0,4
DEN,4,1,6
AZE,3,1,6
CRO,2,0,5
CUB,4,1,6
AUT,2,-1,4
PHI,1,-1,4
ISR,3,1,5
POL,6,3,8
KAZ,4,1,6
JAM,1,-1,4
RSA,3,0,5
THA,2,0,5
ETH,1,-2,3
SUI,3,0,5
ECU,2,-1,5
POR,2,0,5
GRE,2,0,5
ARG,2,-1,4
EGY,2,0,5
TUN,1,-1,4
CHI,1,-1,4
LCA,0,-2,3
UGA,1,-2,3
DOM,2,-1,4
MAR,1,-1,3
DMA,0,-2,3
PAK,0,-2,3
TUR,5,2,7
MEX,3,0,5
ARM,1,-1,4
COL,2,0,5
KGZ,3,0,5
PRK,2,0,5
LTU,1,-2,3
IND,3,0,5
MDA,1,-1,4
CYP,0,-2,3
JOR,1,-2,3
PAN,1,-2,3
TJK,1,-1,4
ALB,1,-2,3
PUR,1,-1,4
CPV,1,-2,3
CIV,0,-2,3
PER,0,-2,3
QAT,0,-2,3
SGP,0,-2,3
SVK,1,-2,3
