NOC_CODE,yhat,yhat_lower,yhat_upper
USA,45,43,48
CHN,38,35,41
JPN,21,18,24
AUS,19,16,22
FRA,14,11,17
NED,12,9,15
GBR,19,17,22
KOR,13,10,15
ITA,8,6,11
GER,8,5,11
NZL,6,3,9
CAN,7,4,9
UZB,5,2,7
HUN,9,6,12
ESP,4,1,7
SWE,3,0,6
KEN,3,0,5
NOR,3,0,6
IRL,0,-3,3
BRA,5,3,8
IRI,5,2,8
UKR,4,1,7
ROU,2,-1,5
GEO,2,0,5
BEL,2,0,5
BUL,2,-1,4
SRB,3,0,5
CZE,1,-2,4
DEN,1,-2,4
AZE,2,-1,5
CRO,1,-1,4
CUB,3,0,6
AUT,0,-3,3
PHI,1,-2,3
ISR,1,-2,4
POL,2,-1,5
KAZ,1,-2,4
JAM,1,-2,4
RSA,1,-2,4
THA,2,0,5
ETH,1,-2,4
SUI,1,-2,4
ECU,2,-1,4
POR,0,-2,3
GRE,1,-2,4
ARG,0,-2,3
EGY,0,-3,3
TUN,1,-2,4
CHI,0,-3,3
LCA,1,-2,3
UGA,1,-2,3
DOM,1,-2,3
MAR,0,-3,3
DMA,0,-2,3
PAK,0,-3,3
TUR,2,0,5
MEX,3,0,6
ARM,1,-2,4
COL,0,-2,3
KGZ,3,0,6
PRK,5,2,8
LTU,-1,-3,2
IND,1,-1,4
MDA,1,-1,4
CYP,0,-3,2
JOR,0,-2,3
PAN,0,-2,3
TJK,1,-2,4
ALB,1,-2,3
PUR,1,-2,3
CPV,0,-3,3
CIV,0,-3,3
PER,0,-2,3
QAT,0,-2,3
SGP,0,-3,3
SVK,-1,-3,2
